B0CLLYDJQX,Hygrometer Thermometer Temperature Notification Greenhouse,"IBS-M1 Wi-Fi Gateway & ITH-20R Digital Monitor with 3 Wireless Remote Sensors
Play Video
How to Connect Gateway Smart Remote Monitoring View APP Details
Greenhouse Reptile Space Bed Room Storage Musical Instrument
Equipment Sharing
Add a family account in the Home Management of the INKBIRD APP and share it, so that family or friends can also read data without a thermometer device
More Coverage Around Your Home
You can pair a maximum of 50 sensors to cover any space around your home
Monitor Anywhere at Anytime
Whether you're away for a few hours or a few days, you'll always have access to your sensors
Stay Informed
If your presets are ever out of range, you'll receive an instant notification on your phone
IBS-M1S+ITH-20R-3 Pack
INKBIRD Smart Thermometer
WiFi & Wireless
App Connection Way
WiFi & Bluetooth

Pair with Gateway


Display/Screen

IPX4
Waterproof Rate
IPX4
1.0/1.8
Temperature Accuracy
1.0/1.8
3RH
Humidity Accuracy
5RH
8x AAA(Not Included)
Battery Capacity
6x AAA(Not Included)
IBS-M2+IBS-TH2-3 Pack
Learn More",Inkbird,INKBIRD,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61IWxODsCjL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTA1OTI3MDg4MjcwNzA1OjE3MDE5MDk4NzQ6c3BfYXRmX25leHQ6MzAwMDk0NDU0NzMzMTAyOjowOjo&url=%2FHygrometer-Thermometer-Temperature-Notification-Greenhouse%2Fdp%2FB0CLLYDJQX%2Fref%3Dsr_1_242_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909874%26sr%3D8-242-spons%26ufe%3Dapp_do%253Aamzn1.fos.17d9e15d-4e43-4581-b373-0e5c1a776d5d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
B08BHWF8KD,Sonoff 4 Channel Automation Self Locking Appliances,"Voice Control
eWeLink APP Pairing Instruction
1. Download eWeLink app in APP Store for iOS or in Google play for Android.
2. Cut off the power before installing the device. Then power it up after completing the installation.
3.After powering on, the device will enter the quick pairing mode (Touch) during the first use. The Wi-Fi LED indicator changes in a cycle of two short and one long flash and release.
4. Tap + and select Quick Pairing, then operate following the prompt on the app.
5. It will auto-search and connect the device.
6. Name the device to complete.
Works with Amazon Alexa & Google Home Assistant
1. Tap ""eWeLink Smart Home""on Alexa App, or ""Smart We Link"" on Google Home App.
2. Enter your eWeLink account and log in.
3. All the devices supported by voice control under your account display on Alexa App or Google Home App.
4. Name the devices to complete.
5. Now, control the connected devices with voice commands.
Alexa, turn on the light.
Hey Google, turn off the bedroom light.
......
Quick to Access 3 Working Modes
Compared with 4CHR2 / 4CHPROR2, you can access self-locking, interlock and inching mode on APP directly.
Self-locking Mode
Turn on/off 4 connected devices independently.
Interlock Mode
Turn on 1 device every time, and turn off other devices at the same time.
Inching Mode
Turn on 1 device and it will automatically turn off after 0.5-3600s.
Share Control
Share the control permission of devices to other accounts to control together.
Set Schedule
Support scheduling a timer to make devices automatically start and stop to work.
Customize Smart Scenes
You can create smart scenes in order that one SONOFF device can trigger on/off another one or gather multiple devices into one group and tap to run them together.
Security Comes Before Everything
The durable flame-retardant PC shell provides the maximum safety for connected devices in use.
Power On state
You can set the power-on state to: ON/OFF/KEEP. When the device is powered back on,the switch status of the device will be determined by the power-on state you set.
433MHz RF Control
With a 433.92MHz RF receiver module built-in, it can be controlled by the 433MHz remote controller(not included).
4CHPRO R3 4CH R3 Mini R2 Mini R3 Basic R2
433MHz remote control 
Dry contact 
AC input     
DC input   
3-month operation records  
interlock mode APP APP
inching mode APP APP APP APP APP",SONOFF,GOOGLEHOME,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51cArGJKF8L._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTA1OTI3MDg4MjcwNzA1OjE3MDE5MDk4NzQ6c3BfYXRmX25leHQ6MjAwMTYwOTk1ODE4Mzk4OjowOjo&url=%2FSonoff-4-Channel-Automation-Self-Locking-Appliances%2Fdp%2FB08BHWF8KD%2Fref%3Dsr_1_243_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909874%26sr%3D8-243-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
B0CBLQ4QDY,Outlet Visible Dustproof Control Bathroom,"1. Intelligent Control: The WiFi socket offers intelligent control with WiFi connectivity, remote mobile control, and third party voice control. With simple voice commands, you can control this versatile socket, allowing multiple users to interfere with remote control.
2. User Friendly Lock Design: With its innovative lock design, this WiFi socket offers easy use and greater convenience. The plug can be easily taken out of the lock design, thereby eliminating the risk of disconnection from a power source.
3. Visible Waterproof Film Designed: With its waterproof dustproof film design and durable construction, this WiFi socket provides protection against water and dust while offering visual control without having to open the socket.
4. Large Space and ABS Housing: This versatile socket boasts spacious functionality, with compatibility to various plug types and sizes with large angles. Additionally, the ABS housing provides long lasting durability against wear and tear, while the IP55 waterproof grade guarantees safe and secure use at all times.
5. Real Time APP Monitoring: With its APP real time monitoring system, you can check and control this socket device anytime, anywhere, perfect for home and office.

Specification:
Item Type: WiFi Socket
Material: PC, ABS
Weight: Approx. 215g/7.6oz
Product Size: Approx. 85x70x63mm/3.3x2.8x2.5in
Hole Distance: Approx. 70x54mm/2.8x2.1in
Protection Class: IP55
Input: AC 100 to 240V, maximum voltage 250V
Rated Frequency: 50Hz, 60HZ
APP: for Tuya smart life
Wifi: 2.4G WiFi
Protection Function: Waterproof protection
Switching Mode: Total control
Wireless Connection: wifi, Bluetooth
Conductor Material: Tin bronze
Applications: Bathroom, basement, balcony, outdoor

How to Use:
Download the APP, then open the login connection to use it

packing list:
1 x WiFi Socket
1 x Specification

1 x Accessory

4 x Screw

2 x Expansion",Zudoo,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61wtDU0vfPL._AC_SX679_.jpg,https://www.amazon.com/Outlet-Visible-Dustproof-Control-Bathroom/dp/B0CBLQ4QDY/ref=sr_1_246?keywords=smart+plug+wifi&qid=1701909874&sr=8-246
B0BFVW2YMC,ELEGRP Waterproof Assistant Required Certified,"ELEGRP PQR11 Outdoor Smart Dimmer Plug
Play Video
1 IP66 Waterproof 2 Weather Resistant 3 Overheat Protection
Looks Waterproof, Acts Also Waterproof
Smarter to Control Your Lights
Voice Control App Remote Control Flexible Schedule Long-range WiFi
Dim Your Outdoor Light Freely
Small in Size, Big in Quality
Load Capacity: INC/HAL 400W; LED/CFL:150W
Wireless standard: 2.4GHz Wifi Only
Working Temperature-30~50
Waterproof Level: IP66
ELEGRP Smart Plug Comparison
Smart Dimmer Plug PQR11
Outdoor Smart Plug PQR20
Outdoor Smart Plug PQR10
Smart Dimmer Plug PQR21
Smart Dimmer Plug PQR22
Dim Your Light
Yes No No Yes Yes
Socket number
One Two One Two (One Dimmer Socket) Two
Rating
120V AC 60Hz 15A, 120V AC 125V AC 15A 60Hz 125V AC 15A 60Hz 125V AC 60Hz
Load Capacity
INC/HAL 400W; LED/CFL:150W 1875W Max in Total 1875W Max in Total INC 400W, LED/CFL 150W / 1475W INC 250W, LED/CFL 150W
Waterproof Level
IP66 IP66 IP66 IP66 IP66
Certificed
UL, FCC UL, FCC UL, FCC UL, FCC UL, FCC",ELEGRP,ALEXA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/71jhNr8gvXL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDc0NjM2NzEwNjIzNzA1OjE3MDE5MDk4NzU6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA3NjE2MTg0NzkwMjo6MDo6&url=%2FELEGRP-Waterproof-Assistant-Required-Certified%2Fdp%2FB0BFVW2YMC%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%253Aamzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB0BFVW2YMC%26pd_rd_r%3D97c6c87d-63dd-44d5-9038-0413371d4c7e%26pd_rd_w%3DKwpf7%26pd_rd_wg%3DABT2y%26pf_rd_p%3Dd6ad0a4b-2eda-440d-98a3-7289fc1c492e%26pf_rd_r%3DBH0REAB5F1QFSFANC07Y%26qid%3D1701909874%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-241-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B08B863PMK,Compatible Smartphone Required Overload Protection,"--( No support Laptop or PC ) ---Only work with 2.4G WIFI with smartphone ----
About how to set up:
Step 1 Download APP ---
Scan QR code to download ""smart life"" APP from user manual or search ""smart life"" in APP store or google play install the APP
Step 2.Register a new account--
Open ""smart life"" APP, tap Register a new account with your phone number or email . then sign in the APP
Step 3. Add Device ---- open smart life app and click + on the top right of APP, then Select Socket(wi-fi) or wifi smart plug name
Step 4. Power Connect--- Plug Jintu outlet into an AC outlet , press power button until see red led light
Step 5.Match Device----- Long Press power button of plug for more than 5 seconds until see blue light fast blink means device is already for configuration, then Select confirm indicator rapidly blinks on cellphones menu.
Step 6.Connect WIFI --- then Enter your WiFi account and password,Then next (Choose Is fast blinking 0.5s/time) and Adding device
Step 7 .Schedule your appliances after Match successful
Feature
Remote Control
Turn your connected appliances on or off from anywhere with your smartphone using the Smart Life App or Tuya App
Dual Plug Design
2 USB ports and 2 AC sockets in one smart plug will save more space for you !
Timing Function
By setting schedules with your smart plug to automatically turn on and off any home electronic appliances
Countdown
Set a timer for your connected appliance to automatically turn off when the time runs out
Easy to Install and Use
Search 'Smart Life' on App Store/Google Play and install it;
Plug the Smart Wi-Fi Plug into any outlet;
Add device on the app;
Select your Wi-Fi Network and enter password;
And you're connected!
How to Connect Using EZ Mode
Set Up in EZ Mode (2.4 Ghz Network Only, Tuya Smart or Smart Life App only)
Tap on the + sign on the top right corner of the screen
Choose Add Manually >Electrician> Socket (Wifi)
Enter your wifi networks name and password and tap next
Plug in your smart product and press the power button for 5 seconds until the indicator light begins flashing quickly (you may hear a click) to reset the device
Tap Confirm indicator rapidly blink
Please note: Steps may vary
How to Connect to Alexa and Google Home
Modify device name so your Amazon Alexa can easily recognize the name. For Example: Living Room Lamp, Bedroom Light.
Use Alexa App or Computer to set up your Amazon Alexa.
In the menu bar, go to 'Skills' and search for 'Smart Life'. Enable Skill, then type in your login info from your app account to finish the account linking.
Ask Alexa to discover devices. Then you can control your devices using voice through your Amazon Alexa product.",JINTU,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51QdhaIoXuL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDc0NjM2NzEwNjIzNzA1OjE3MDE5MDk4NzU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA0NzcyNTI4MDE1MTo6MTo6&url=%2FCompatible-Smartphone-Required-Overload-Protection%2Fdp%2FB08B863PMK%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%253Aamzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB08B863PMK%26pd_rd_r%3D97c6c87d-63dd-44d5-9038-0413371d4c7e%26pd_rd_w%3DKwpf7%26pd_rd_wg%3DABT2y%26pf_rd_p%3Dd6ad0a4b-2eda-440d-98a3-7289fc1c492e%26pf_rd_r%3DBH0REAB5F1QFSFANC07Y%26qid%3D1701909874%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-242-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B0CHBK3TP1,Socket 100%E2%80%91240VAC Wireless Remote Control,"Specification:
Item Type: WiFi Smart Plug
Material: ABS + PC
Model: LSPA2
Number of Holes: 3
Input Voltage: 100-240VAC 50 / 60Hz
Rated Current: 16A
Shell Color: White
Working Temperature: -20~+50
Fire Rating: 94-V0
Wireless Standard: IEEE802.11b/g/n, 2.4GHz
Power Statistics: No
Support: For Homepage/IFTTT Roqi/Phone-Siri

PackageList:
1 x WiFi Smart Plug
1 x User Manual",Kadimendium,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41fKZtb6ORL._AC_SX679_.jpg,https://www.amazon.com/Socket-100%E2%80%91240VAC-Wireless-Remote-Control/dp/B0CHBK3TP1/ref=sr_1_248?keywords=smart+plug+wifi&qid=1701909874&sr=8-248
B09DD6SJ56,Timing Socket Switch Durable Supports,"Recommend
Household Products",Lazmin112,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41C52VVxHMS._AC_SX679_.jpg,https://www.amazon.com/Timing-Socket-Switch-Durable-Supports/dp/B09DD6SJ56/ref=sr_1_249?keywords=smart+plug+wifi&qid=1701909874&sr=8-249
B0B8N5895S,HomeKit Outdoor Smart Switch Bundle,"Smart Light Switch Treatlife Single Pole Smart Switch Works with Alexa, Google Home and SmartThings, 2.4GHz Wi-Fi Timer Light Switch, Neutral Wire Required, No Hub Required, ETL Listed, FCC, 4 Pack TREATLIFE Outdoor Smart Plug, HomeKit Outdoor Plug with 2 Individual Control Outlets, IP64 for Outdoor String Lights, Compatible with Siri, Alexa, Google Home, 2.4GHz WiFi Only, Remote Control, Timer VOICE CONTROL: Enjoy the hands-free convenience of controlling the lights in your home with your voice via Amazon Alexa and Google Assistant; perfect for times when your hands are full or entering a dark room. Individual Control of 2 Outlets: The outdoor wifi plug has two individually controlled outlets, it will show up as two separate devices. Turned on/off outdoor string lights, Patio lights and Christmas lights separately or together at the same time. Max power: 1875W (15A/1875W Max for both). Note: Non-dimmable. IP64 Weather Resistant & Worry-free Support: IP64 Weather Resistance helps to protect your homekit outdoor plug against sprinkles and moisture splashes. 2-year warranty. Our Treatlife support team will accompany you all the way, if you have any questions, please feel free to contact customer service for warranty support.",TREATLIFE,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51uZoWuIVSL._AC_SX679_.jpg,https://www.amazon.com/HomeKit-Outdoor-Smart-Switch-Bundle/dp/B0B8N5895S/ref=sr_1_250?keywords=smart+plug+wifi&qid=1701909874&sr=8-250
B08Q7LYWNJ,monitoring function required temperature SP1,"The Ubibot Smart Plug is an automation partner for your smart home and IoT industry. With Ubibot smart plug, you are able to remote control other devices connected with it, such as fans, coffee machine, etc. You can schedule your life via the mobile app by setting timer. The most prominent feature is that it supports external probes connection. It can monitor the environmental conditions and sync the data to the cloud. With the automation rules you set, it will turn on the air conditioner automatically without any manual operations. It can also trigger alerts for extreme conditions, such as over heating. And you will be notified by several modes, free email alerts, free app notifications, SMS texts, voice call and web notifications. You can enjoy free cloud storage without any subscription fees. The basic plan which contains 200MB storage and 1 GB monthly outbound traffic fits most of our customers. Giving you peace of mind and saving you more time to enjoy life.",UbiBot,UBIBOT,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/4141DhpeKsL._SX522_.jpg,https://www.amazon.com/monitoring-function-required-temperature-SP1/dp/B08Q7LYWNJ/ref=sr_1_251?keywords=smart+plug+wifi&qid=1701909874&sr=8-251
B0CCRMYDC5,Smart Outlet Plug 95 245V Socket,"1. [Energy Saving] This socket is a timer switch that can set the time, so there is no need to worry about forgetting to turn off the lights, and it saves energy.
2. [Wireless Remote Control] This socket can be wirelessly controlled remotely, and it can also remotely monitor the working status of the device in real time when you are not at home.
3. [Phone Controllable] This socket can control the switch of the device connected to the socket through the mobile APP, which is convenient and fast.
4. [Flexible Operation] The smart socket supports cycle timing and random timing, and the operation is more flexible and convenient.
5. [Wall Mounted] This smart socket is wall mounted, does not take up space, and does not break the decoration style.

Specification:
Item Type: Smart Socket
Material: ABS
Voltage: 95-245V AC 50 60Hz
Maximum Current: 16A
Maximum Power: 2500W
Compatible: For Smart life APP, for Google assistant

PackageList:
1 x Smart Socket
2 x Screw
1 x Instruction",Hztyyier,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51eF8Uq5gsL._SX522_.jpg,https://www.amazon.com/Smart-Outlet-Plug-95-245V-Socket/dp/B0CCRMYDC5/ref=sr_1_253?keywords=smart+plug+wifi&qid=1701909874&sr=8-253
B0BHKWSGPB,Shelly 3800235268094 Pro 3,"Shelly is the flagship brand of the European tech company Shelly Group which specializes in delivering innovation through designing, producing, and distributing high-quality Smart home products.
Shelly is one of the fastest-growing Smart home brands in the world with devices, providing solutions for the automation of homes and buildings.",Shelly,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61mbcIMuR6L.__AC_SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTA1OTI3MDg4MjcwNzA1OjE3MDE5MDk4NzQ6c3BfbXRmOjMwMDAxNzQ4MDI1OTcwMjo6MDo6&url=%2FShelly-3800235268094-Pro-3%2Fdp%2FB0BHKWSGPB%2Fref%3Dsr_1_254_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909874%26sr%3D8-254-spons%26ufe%3Dapp_do%253Aamzn1.fos.17d9e15d-4e43-4581-b373-0e5c1a776d5d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B0CFHD71YM,Socket Wireless Control 95%E2%80%91245V Version,"1. [Energy Saving] This socket is a timer switch that can set the time, so there is no need to worry about forgetting to turn off the lights, and it saves energy.
2. [Wireless Remote Control] This socket can be wirelessly controlled remotely, and it can also remotely monitor the working status of the device in real time when you are not at home.
3. [Phone Controllable] This socket can control the switch of the device connected to the socket through the mobile APP, which is convenient and fast.
4. [Flexible Operation] The smart socket supports cycle timing and random timing, and the operation is more flexible and convenient.
5. [Wall Mounted] This smart socket is wall mounted, does not take up space, and does not break the decoration style.

Specification:
Item Type: Smart Socket
Material: ABS
Voltage: 95-245V AC 50 60Hz
Maximum Current: 16A
Maximum Power: 2500W
Compatible: For Smart life APP, for Google assistant

packing list:
1 x Smart Socket
2 x Screw
1 x Instruction",EVGATSAUTO,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51Ds89odBhL._SX522_.jpg,https://www.amazon.com/Socket-Wireless-Control-95%E2%80%91245V-Version/dp/B0CFHD71YM/ref=sr_1_255?keywords=smart+plug+wifi&qid=1701909874&sr=8-255
B0BZWK3WYY,Outlet Outlets Socket Control 220%E2%80%91250V,"1. Flame Retardant: The smart socket is made of flame retardant PC material, ultra light, environmentally friendly, and more secure to use.
2. Smart WiFi Socket: 2 in 1 smart socket has remote control, timing function and WiFi 2.4GHz connection to realize smart home.
3. Voice Control Function: Dual outlet smart wifi plug has voice control function, providing you great using experience.
4. Independently Control: The EU smart plug can be independently controlled, with a maximum load of 16A.
5. APP Application System: EU Wifi smart plug is compatible for IOS and for Android mobile phone system.

Spec:
Item Type: Dual Outlet Smart Plug
Product Material: PC
Weight: Approx. 196g / 6.9oz
Plug Voltage: EU Plug AC 220-250V
Maximum Load: 16A
WiFi Frequency: 2.4GHz
APP Application System: for IOS, for Android
Product size: 106x53x48mm / 4.2x2.1x1.9in

How to Use:
Plug in the power supply, scan the code and download the app for pairing control. See the instructions for details.

Package List:
1 x Socket
1 x Manual",Marukio,16A,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51gBmacvIOL._AC_SX679_.jpg,https://www.amazon.com/Outlet-Outlets-Socket-Control-220%E2%80%91250V/dp/B0BZWK3WYY/ref=sr_1_256?keywords=smart+plug+wifi&qid=1701909874&sr=8-256
B09DDB36TN,Timing Socket Fireproof Material Supports,"Feature:
1. 15A universal socket, using high?quality fireproof PC material, safe and durable.
2. It supports remote access via APP, and can be scheduled and timed.
3. Support for Alexa or for Home for voice control and support for iFTTT.
4. Multi?function conversion socket, exquisite design, suitable for daily use at home.
5. It supports energy monitoring, can control home appliances, and has a high degree of intelligence.


Specification:

Item Type: WIFI Socket
Material: PC
Weight: Approx. 76g / 2.7oz
Product Size: Approx. 6x4.6cm / 2.4x1.8in
Model: RSH WS026
Specification: 15A Universal Socket
Voltage Specification: US Standard 100 to 250V
Network: 802.11b/G/N, 2.4Ghz
Maximum Load: 15A
How to Use: Plug into the socket according to the corresponding voltage applicable to the parameter





Package List:
1 x Conversion Socket
1 x English Manual


Note:
1. Please allow 01 inch error due to manual measurement. Thanks for your understanding.
2. Monitors are not calibrated same, item color displayed in photos may be showing slightly different from the real object. Please take the real one as standard.",EBTOOLS,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51mvl4KwOkS._AC_SX679_.jpg,https://www.amazon.com/Timing-Socket-Fireproof-Material-Supports/dp/B09DDB36TN/ref=sr_1_257?keywords=smart+plug+wifi&qid=1701909874&sr=8-257
B0BDFVBGXL,Outlet Socket Required Remote Control,"Features:
1. The RGB indicator can adjust various colors and set 8 scene modes. RGB indicator light and socket power are independently controlled.
2. Remote switch / smart timing. App remote control anytime anywhere. An App controls all devices: If the device is connected to a smart outlet, an application will control all devices.
3. This smart socket allows voice control. Simple and quick operation by scanning the QR code to download app.
4. Intelligent grouping control / real-time monitoring anomalies. You can create a group for all devices and control them with a command. We can share it with our family.
5. Saving on electricity: Smart timer plugs can help reduce your electricity bill by turning off the power-hungry device when it is not needed.
6. Keep your family safe: You can use a wifi timer socket to make it feel like someone is home, so no one dares to come in when you're not home.
7. More time to take care of children: With wifi, you can control your computer or TV and turn them off when they should be doing their homework.
8. Other features: overload protection, intelligent sharing of devices, online App update, perfect mini size.

Specifications:
Type: Smart Socket
Color: White
Material: PC
Maximum Load: 10A
Input Voltage: AC 100-240V 50/60Hz
Wi-fi Standard: 2.4GHz 802.11b/g/n
Standby Power:  0.3W
Support System: Android/IOS
Specification: the US standard
Size: Approx. 55 * 50 * 50 mm / 2.1 * 2 * 2 inch
Weight: 59g

Package Include:
1 x Smart Socket
1 x English Manual",Tyenaza,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51jhj31AwuL._AC_SX679_.jpg,https://www.amazon.com/Outlet-Socket-Required-Remote-Control/dp/B0BDFVBGXL/ref=sr_1_258?keywords=smart+plug+wifi&qid=1701909874&sr=8-258
B0BFVTWDXK,ELEGRP Waterproof Assistant Required Certified,"ELEGRP PQR10 Outdoor Smart Plug
Your All-Weather Smart Outdoor Socket
Looks Waterproof, Acts Super Waterproof
Smarter to Turn On/off Your Lights
Voice Control App Remote Control Flexible Schedule Long-range WiFi
Small in Size, Big in Quality
Load Capacity: 1875W Max in Total
Wireless standard: 2.4GHz Wi-Fi Only
Working Temperature-30~50
Waterproof Level: IP66
ELEGRP Outdoor Smart Plug Comparison
Outdoor Smart Plug PQR10
Outdoor Smart Plug PQR20
Smart Dimmer Plug PQR11
Smart Dimmer Plug PQR21
Smart Dimmer Plug PQR22
Dim Your Light
No No Yes Yes Yes
Socket number
One Two One Two (One Dimmer Socket) Two
Rating
125V AC 15A 60Hz 15A, 120V AC 120V AC 60Hz 125V AC 15A 60Hz 125V AC 60Hz
Load Capacity
1875W Max in Total 1875W Max in Total INC/HAL 400W; LED/CFL:150W INC 400W, LED/CFL 150W / 1475W INC 250W, LED/CFL 150W
Waterproof Level
IP66 IP66 IP66 IP66 IP66
Certified
UL, FCC UL, FCC UL, FCC UL, FCC UL, FCC",ELEGRP,ALEXA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/71tuFyD9SVL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTA1OTI3MDg4MjcwNzA1OjE3MDE5MDk4NzQ6c3BfbXRmOjMwMDA3NjE0ODUzNDMwMjo6MDo6&url=%2FELEGRP-Waterproof-Assistant-Required-Certified%2Fdp%2FB0BFVTWDXK%2Fref%3Dsr_1_259_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909874%26sr%3D8-259-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B09YVC44D4,Switch Neutral Required Electrical Switches,"Curved Screen Glass Panel Design Smart Switches:
Different from other wifi light switches on the market, we use the most advanced 2.5D curved screen glass switch, which is safe to use and has the ultimate appearance, decorating your home and making your home more atmosphere!
Package Listing
* Gantch WiFi Smart Touch Wall Switch *1
* User Manual *1
* wall studs *2
Gantch Smart Wall Light Touch Switch
Gantch intelligence is definitely the way to go for making a ""smart"" home.
Gantch Smart home device is devoted to household smart products.APP remote control,highly sensitive capacitance touch design, and with blue back light display function which is safer than a push button and prevents electric shock even if touch by wet hands, works with Alexa and Google Assistant.Fun and safe, users can control their lights, appliances and view security camera footage anytime, anywhere. Provides excellent synergy between devices to enhance automation.
1. Support manual control function.
2. 50/60Hz, Wifi 2.4GHz, wireless protocol: IEEE802.11b/g/n
3.Support Tuya APP control, zero fire wire design.
4. After the power is turned on, the socket is turned off, and the USB output is normal.
5. Support self-organized network function, no need for code learning.
Different functional gameplay experience the happiness of smart home
Notice
Tuya ZigBee/Wifi series
Suitable for 1-4 Way Switch
It requires professional electrical installation, can not installed with power charge. Its better to install in a open, dry barrier-free place to achieve the best control effect and do not install in a damp places.
Its suitable for an altitude of 2000 meter and non- tropical climate.
Wifi Smart Light Switch 1 Gang Wifi Smart Light Switch 2 Gang Wifi Smart Light Switch 3 Gang Wifi Smart Light Switch 4 Gang Zigbee Smart Light Switch 4 Gang Zigbee Smart Light Switch 3 Gang
2.5D Curved Screen      
Wifi Control      
Multi-Control      
Google/Alexa Assistant      
Voice Control      
Timing Setting      
scene settings      ",Gantch,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51ZM0BmXTFL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTA1OTI3MDg4MjcwNzA1OjE3MDE5MDk4NzQ6c3BfbXRmOjIwMDE2NTkyODQ5NzY5ODo6MDo6&url=%2FSwitch-Neutral-Required-Electrical-Switches%2Fdp%2FB09YVC44D4%2Fref%3Dsr_1_260_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909874%26sr%3D8-260-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
